county,month,employment_rate,avg_income,unemployment_rate
Carlow,2024-01-01,0.6825,36720.0,0.3175
Carlow,2024-02-01,0.6825,36720.0,0.3175
Carlow,2024-03-01,0.6825,36720.0,0.3175
Carlow,2024-04-01,0.6825,36720.0,0.3175
Carlow,2024-05-01,0.6825,36720.0,0.3175
Carlow,2024-06-01,0.6825,36720.0,0.3175
Carlow,2024-07-01,0.6825,36720.0,0.3175
Carlow,2024-08-01,0.6825,36720.0,0.3175
Carlow,2024-09-01,0.6825,36720.0,0.3175
Carlow,2024-10-01,0.6825,36720.0,0.3175
Carlow,2024-11-01,0.6825,36720.0,0.3175
Carlow,2024-12-01,0.6825,36720.0,0.3175
Cavan,2024-01-01,0.651,34560.0,0.349
Cavan,2024-02-01,0.651,34560.0,0.349
Cavan,2024-03-01,0.651,34560.0,0.349
Cavan,2024-04-01,0.651,34560.0,0.349
Cavan,2024-05-01,0.651,34560.0,0.349
Cavan,2024-06-01,0.651,34560.0,0.349
Cavan,2024-07-01,0.651,34560.0,0.349
Cavan,2024-08-01,0.651,34560.0,0.349
Cavan,2024-09-01,0.651,34560.0,0.349
Cavan,2024-10-01,0.651,34560.0,0.349
Cavan,2024-11-01,0.651,34560.0,0.349
Cavan,2024-12-01,0.651,34560.0,0.349
Clare,2024-01-01,0.7035,39960.0,0.2965
Clare,2024-02-01,0.7035,39960.0,0.2965
Clare,2024-03-01,0.7035,39960.0,0.2965
Clare,2024-04-01,0.7035,39960.0,0.2965
Clare,2024-05-01,0.7035,39960.0,0.2965
Clare,2024-06-01,0.7035,39960.0,0.2965
Clare,2024-07-01,0.7035,39960.0,0.2965
Clare,2024-08-01,0.7035,39960.0,0.2965
Clare,2024-09-01,0.7035,39960.0,0.2965
Clare,2024-10-01,0.7035,39960.0,0.2965
Clare,2024-11-01,0.7035,39960.0,0.2965
Clare,2024-12-01,0.7035,39960.0,0.2965
Cork,2024-01-01,0.756,48600.0,0.244
Cork,2024-02-01,0.756,48600.0,0.244
Cork,2024-03-01,0.756,48600.0,0.244
Cork,2024-04-01,0.756,48600.0,0.244
Cork,2024-05-01,0.756,48600.0,0.244
Cork,2024-06-01,0.756,48600.0,0.244
Cork,2024-07-01,0.756,48600.0,0.244
Cork,2024-08-01,0.756,48600.0,0.244
Cork,2024-09-01,0.756,48600.0,0.244
Cork,2024-10-01,0.756,48600.0,0.244
Cork,2024-11-01,0.756,48600.0,0.244
Cork,2024-12-01,0.756,48600.0,0.244
Donegal,2024-01-01,0.63,33480.0,0.37
Donegal,2024-02-01,0.63,33480.0,0.37
Donegal,2024-03-01,0.63,33480.0,0.37
Donegal,2024-04-01,0.63,33480.0,0.37
Donegal,2024-05-01,0.63,33480.0,0.37
Donegal,2024-06-01,0.63,33480.0,0.37
Donegal,2024-07-01,0.63,33480.0,0.37
Donegal,2024-08-01,0.63,33480.0,0.37
Donegal,2024-09-01,0.63,33480.0,0.37
Donegal,2024-10-01,0.63,33480.0,0.37
Donegal,2024-11-01,0.63,33480.0,0.37
Donegal,2024-12-01,0.63,33480.0,0.37
Dublin,2024-01-01,0.798,59400.0,0.202
Dublin,2024-02-01,0.798,59400.0,0.202
Dublin,2024-03-01,0.798,59400.0,0.202
Dublin,2024-04-01,0.798,59400.0,0.202
Dublin,2024-05-01,0.798,59400.0,0.202
Dublin,2024-06-01,0.798,59400.0,0.202
Dublin,2024-07-01,0.798,59400.0,0.202
Dublin,2024-08-01,0.798,59400.0,0.202
Dublin,2024-09-01,0.798,59400.0,0.202
Dublin,2024-10-01,0.798,59400.0,0.202
Dublin,2024-11-01,0.798,59400.0,0.202
Dublin,2024-12-01,0.798,59400.0,0.202
Galway,2024-01-01,0.7455,45360.0,0.2545
Galway,2024-02-01,0.7455,45360.0,0.2545
Galway,2024-03-01,0.7455,45360.0,0.2545
Galway,2024-04-01,0.7455,45360.0,0.2545
Galway,2024-05-01,0.7455,45360.0,0.2545
Galway,2024-06-01,0.7455,45360.0,0.2545
Galway,2024-07-01,0.7455,45360.0,0.2545
Galway,2024-08-01,0.7455,45360.0,0.2545
Galway,2024-09-01,0.7455,45360.0,0.2545
Galway,2024-10-01,0.7455,45360.0,0.2545
Galway,2024-11-01,0.7455,45360.0,0.2545
Galway,2024-12-01,0.7455,45360.0,0.2545
Kerry,2024-01-01,0.693,38880.0,0.307
Kerry,2024-02-01,0.693,38880.0,0.307
Kerry,2024-03-01,0.693,38880.0,0.307
Kerry,2024-04-01,0.693,38880.0,0.307
Kerry,2024-05-01,0.693,38880.0,0.307
Kerry,2024-06-01,0.693,38880.0,0.307
Kerry,2024-07-01,0.693,38880.0,0.307
Kerry,2024-08-01,0.693,38880.0,0.307
Kerry,2024-09-01,0.693,38880.0,0.307
Kerry,2024-10-01,0.693,38880.0,0.307
Kerry,2024-11-01,0.693,38880.0,0.307
Kerry,2024-12-01,0.693,38880.0,0.307
Kildare,2024-01-01,0.777,50760.0,0.223
Kildare,2024-02-01,0.777,50760.0,0.223
Kildare,2024-03-01,0.777,50760.0,0.223
Kildare,2024-04-01,0.777,50760.0,0.223
Kildare,2024-05-01,0.777,50760.0,0.223
Kildare,2024-06-01,0.777,50760.0,0.223
Kildare,2024-07-01,0.777,50760.0,0.223
Kildare,2024-08-01,0.777,50760.0,0.223
Kildare,2024-09-01,0.777,50760.0,0.223
Kildare,2024-10-01,0.777,50760.0,0.223
Kildare,2024-11-01,0.777,50760.0,0.223
Kildare,2024-12-01,0.777,50760.0,0.223
Kilkenny,2024-01-01,0.7035,38880.0,0.2965
Kilkenny,2024-02-01,0.7035,38880.0,0.2965
Kilkenny,2024-03-01,0.7035,38880.0,0.2965
Kilkenny,2024-04-01,0.7035,38880.0,0.2965
Kilkenny,2024-05-01,0.7035,38880.0,0.2965
Kilkenny,2024-06-01,0.7035,38880.0,0.2965
Kilkenny,2024-07-01,0.7035,38880.0,0.2965
Kilkenny,2024-08-01,0.7035,38880.0,0.2965
Kilkenny,2024-09-01,0.7035,38880.0,0.2965
Kilkenny,2024-10-01,0.7035,38880.0,0.2965
Kilkenny,2024-11-01,0.7035,38880.0,0.2965
Kilkenny,2024-12-01,0.7035,38880.0,0.2965
Laois,2024-01-01,0.672,36720.0,0.328
Laois,2024-02-01,0.672,36720.0,0.328
Laois,2024-03-01,0.672,36720.0,0.328
Laois,2024-04-01,0.672,36720.0,0.328
Laois,2024-05-01,0.672,36720.0,0.328
Laois,2024-06-01,0.672,36720.0,0.328
Laois,2024-07-01,0.672,36720.0,0.328
Laois,2024-08-01,0.672,36720.0,0.328
Laois,2024-09-01,0.672,36720.0,0.328
Laois,2024-10-01,0.672,36720.0,0.328
Laois,2024-11-01,0.672,36720.0,0.328
Laois,2024-12-01,0.672,36720.0,0.328
Leitrim,2024-01-01,0.63,32400.0,0.37
Leitrim,2024-02-01,0.63,32400.0,0.37
Leitrim,2024-03-01,0.63,32400.0,0.37
Leitrim,2024-04-01,0.63,32400.0,0.37
Leitrim,2024-05-01,0.63,32400.0,0.37
Leitrim,2024-06-01,0.63,32400.0,0.37
Leitrim,2024-07-01,0.63,32400.0,0.37
Leitrim,2024-08-01,0.63,32400.0,0.37
Leitrim,2024-09-01,0.63,32400.0,0.37
Leitrim,2024-10-01,0.63,32400.0,0.37
Leitrim,2024-11-01,0.63,32400.0,0.37
Leitrim,2024-12-01,0.63,32400.0,0.37
Limerick,2024-01-01,0.735,43200.0,0.265
Limerick,2024-02-01,0.735,43200.0,0.265
Limerick,2024-03-01,0.735,43200.0,0.265
Limerick,2024-04-01,0.735,43200.0,0.265
Limerick,2024-05-01,0.735,43200.0,0.265
Limerick,2024-06-01,0.735,43200.0,0.265
