county,month,traffic_volume,congestion_delay_minutes,avg_speed_kph
Carlow,2024-01-01,14000,4.7,60.0
Carlow,2024-02-01,14000,4.7,60.0
Carlow,2024-03-01,14000,4.7,60.0
Carlow,2024-04-01,14000,4.7,60.0
Carlow,2024-05-01,14000,4.7,60.0
Carlow,2024-06-01,14000,4.7,60.0
Carlow,2024-07-01,14000,4.7,60.0
Carlow,2024-08-01,14000,4.7,60.0
Carlow,2024-09-01,14000,4.7,60.0
Carlow,2024-10-01,14000,4.7,60.0
Carlow,2024-11-01,14000,4.7,60.0
Carlow,2024-12-01,14000,4.7,60.0
Cavan,2024-01-01,12000,4.0,60.0
Cavan,2024-02-01,12000,4.0,60.0
Cavan,2024-03-01,12000,4.0,60.0
Cavan,2024-04-01,12000,4.0,60.0
Cavan,2024-05-01,12000,4.0,60.0
Cavan,2024-06-01,12000,4.0,60.0
Cavan,2024-07-01,12000,4.0,60.0
Cavan,2024-08-01,12000,4.0,60.0
Cavan,2024-09-01,12000,4.0,60.0
Cavan,2024-10-01,12000,4.0,60.0
Cavan,2024-11-01,12000,4.0,60.0
Cavan,2024-12-01,12000,4.0,60.0
Clare,2024-01-01,20000,6.7,60.0
Clare,2024-02-01,20000,6.7,60.0
Clare,2024-03-01,20000,6.7,60.0
Clare,2024-04-01,20000,6.7,60.0
Clare,2024-05-01,20000,6.7,60.0
Clare,2024-06-01,20000,6.7,60.0
Clare,2024-07-01,20000,6.7,60.0
Clare,2024-08-01,20000,6.7,60.0
Clare,2024-09-01,20000,6.7,60.0
Clare,2024-10-01,20000,6.7,60.0
Clare,2024-11-01,20000,6.7,60.0
Clare,2024-12-01,20000,6.7,60.0
Cork,2024-01-01,45000,15.0,60.0
Cork,2024-02-01,45000,15.0,60.0
Cork,2024-03-01,45000,15.0,60.0
Cork,2024-04-01,45000,15.0,60.0
Cork,2024-05-01,45000,15.0,60.0
Cork,2024-06-01,45000,15.0,60.0
Cork,2024-07-01,45000,15.0,60.0
Cork,2024-08-01,45000,15.0,60.0
Cork,2024-09-01,45000,15.0,60.0
Cork,2024-10-01,45000,15.0,60.0
Cork,2024-11-01,45000,15.0,60.0
Cork,2024-12-01,45000,15.0,60.0
Donegal,2024-01-01,11000,3.7,60.0
Donegal,2024-02-01,11000,3.7,60.0
Donegal,2024-03-01,11000,3.7,60.0
Donegal,2024-04-01,11000,3.7,60.0
Donegal,2024-05-01,11000,3.7,60.0
Donegal,2024-06-01,11000,3.7,60.0
Donegal,2024-07-01,11000,3.7,60.0
Donegal,2024-08-01,11000,3.7,60.0
Donegal,2024-09-01,11000,3.7,60.0
Donegal,2024-10-01,11000,3.7,60.0
Donegal,2024-11-01,11000,3.7,60.0
Donegal,2024-12-01,11000,3.7,60.0
Dublin,2024-01-01,85000,28.3,60.0
Dublin,2024-02-01,85000,28.3,60.0
Dublin,2024-03-01,85000,28.3,60.0
Dublin,2024-04-01,85000,28.3,60.0
Dublin,2024-05-01,85000,28.3,60.0
Dublin,2024-06-01,85000,28.3,60.0
Dublin,2024-07-01,85000,28.3,60.0
Dublin,2024-08-01,85000,28.3,60.0
Dublin,2024-09-01,85000,28.3,60.0
Dublin,2024-10-01,85000,28.3,60.0
Dublin,2024-11-01,85000,28.3,60.0
Dublin,2024-12-01,85000,28.3,60.0
Galway,2024-01-01,30000,10.0,60.0
Galway,2024-02-01,30000,10.0,60.0
Galway,2024-03-01,30000,10.0,60.0
Galway,2024-04-01,30000,10.0,60.0
Galway,2024-05-01,30000,10.0,60.0
Galway,2024-06-01,30000,10.0,60.0
Galway,2024-07-01,30000,10.0,60.0
Galway,2024-08-01,30000,10.0,60.0
Galway,2024-09-01,30000,10.0,60.0
Galway,2024-10-01,30000,10.0,60.0
Galway,2024-11-01,30000,10.0,60.0
Galway,2024-12-01,30000,10.0,60.0
Kerry,2024-01-01,18000,6.0,60.0
Kerry,2024-02-01,18000,6.0,60.0
Kerry,2024-03-01,18000,6.0,60.0
Kerry,2024-04-01,18000,6.0,60.0
Kerry,2024-05-01,18000,6.0,60.0
Kerry,2024-06-01,18000,6.0,60.0
Kerry,2024-07-01,18000,6.0,60.0
Kerry,2024-08-01,18000,6.0,60.0
Kerry,2024-09-01,18000,6.0,60.0
Kerry,2024-10-01,18000,6.0,60.0
Kerry,2024-11-01,18000,6.0,60.0
Kerry,2024-12-01,18000,6.0,60.0
Kildare,2024-01-01,38000,12.7,60.0
Kildare,2024-02-01,38000,12.7,60.0
Kildare,2024-03-01,38000,12.7,60.0
Kildare,2024-04-01,38000,12.7,60.0
Kildare,2024-05-01,38000,12.7,60.0
Kildare,2024-06-01,38000,12.7,60.0
Kildare,2024-07-01,38000,12.7,60.0
Kildare,2024-08-01,38000,12.7,60.0
Kildare,2024-09-01,38000,12.7,60.0
Kildare,2024-10-01,38000,12.7,60.0
Kildare,2024-11-01,38000,12.7,60.0
Kildare,2024-12-01,38000,12.7,60.0
Kilkenny,2024-01-01,17000,5.7,60.0
Kilkenny,2024-02-01,17000,5.7,60.0
Kilkenny,2024-03-01,17000,5.7,60.0
Kilkenny,2024-04-01,17000,5.7,60.0
Kilkenny,2024-05-01,17000,5.7,60.0
Kilkenny,2024-06-01,17000,5.7,60.0
Kilkenny,2024-07-01,17000,5.7,60.0
Kilkenny,2024-08-01,17000,5.7,60.0
